"","prob0","prob1","prob2","prob3","prob4","prob5","deaddrop","predicted","trueprediction","random","randompredicted"
"74",42.86,14.29,14.29,14.29,14.29,0,0,TRUE,TRUE,0,TRUE
"75",42.86,28.57,14.29,14.29,0,0,0,TRUE,TRUE,5,FALSE
"76",57.14,28.57,0,0,0,14.29,0,TRUE,TRUE,0,TRUE
"77",28.57,14.29,28.57,14.29,14.29,0,0,TRUE,FALSE,2,FALSE
"78",28.57,42.86,14.29,0,0,14.29,0,FALSE,FALSE,5,FALSE
"79",14.29,14.29,28.57,28.57,14.29,0,2,TRUE,FALSE,2,TRUE
"80",28.57,14.29,14.29,28.57,14.29,0,0,TRUE,FALSE,5,FALSE
"81",14.29,14.29,28.57,28.57,0,14.29,5,FALSE,FALSE,2,FALSE
"82",28.57,14.29,28.57,14.29,14.29,0,0,TRUE,FALSE,0,TRUE
"83",28.57,28.57,14.29,14.29,0,14.29,1,TRUE,FALSE,1,TRUE
"84",14.29,28.57,14.29,28.57,14.29,0,3,TRUE,FALSE,1,FALSE
"85",28.57,14.29,28.57,14.29,14.29,0,0,TRUE,FALSE,2,FALSE
"86",42.86,0,0,28.57,14.29,14.29,0,TRUE,TRUE,0,TRUE
"87",28.57,28.57,0,14.29,14.29,14.29,5,FALSE,FALSE,0,FALSE
"88",42.86,28.57,0,14.29,0,14.29,3,FALSE,FALSE,2,FALSE
"89",28.57,28.57,14.29,14.29,14.29,0,2,FALSE,FALSE,1,FALSE
"90",42.86,28.57,0,14.29,14.29,0,1,FALSE,FALSE,2,FALSE
"91",28.57,14.29,0,28.57,14.29,14.29,3,TRUE,FALSE,2,FALSE
"92",14.29,28.57,28.57,14.29,14.29,0,4,FALSE,FALSE,2,FALSE
"93",42.86,14.29,14.29,14.29,14.29,0,1,FALSE,FALSE,3,FALSE
"94",28.57,28.57,14.29,28.57,0,0,1,TRUE,FALSE,3,FALSE
"95",28.57,14.29,0,28.57,14.29,14.29,1,FALSE,FALSE,0,FALSE
"96",14.29,14.29,14.29,28.57,14.29,14.29,2,FALSE,FALSE,0,FALSE
"97",28.57,28.57,0,28.57,0,14.29,1,TRUE,FALSE,0,FALSE
"98",14.29,28.57,28.57,14.29,0,14.29,2,TRUE,FALSE,3,FALSE
"99",14.29,28.57,14.29,28.57,14.29,0,3,TRUE,FALSE,1,FALSE
"100",42.86,14.29,14.29,0,14.29,14.29,0,TRUE,TRUE,2,FALSE
